book_id,chap_num,title,part,author,year_of_publish,label,PC0,PC1,PC2,PC3
4,4,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch4,-0.5614394627246169,-0.28593474147149744,-0.02920645092363766,-0.04265030099097796
4,5,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch5,-0.05373055012626223,-0.35212652206469147,0.6323100178510886,-0.03711825531971527
4,6,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch6,-0.45988376426839717,-0.4736585298587571,0.26210325736074125,0.17028524274256304
4,7,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch7,-0.603483656169,-0.2860257085463239,-0.12499929562413992,0.04255413686900097
4,8,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch8,-0.5902214201213529,-0.2004148410316784,-0.2407451158578802,-0.03946289526590998
4,9,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch9,-0.519396353364505,-0.18557260228770997,-0.24746908954827743,-0.05871869292993775
4,10,The Lord of the Rings,The Two Towers,J. R. R. Tolkien,21 April 1955,J. R. R. Tolkien Book 4 Ch10,-0.19661384836320275,0.13831554230753004,-0.0577614893947101,0.01289986482310109
5,1,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch1,0.13312379940513816,-0.20507100980461138,0.35475988658308394,0.04960585447238086
5,2,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch2,0.47638465556133186,-0.24047869428717744,-0.23113333511960782,-0.040427460188526124
5,3,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch3,0.4333982087238385,-0.2820461950878534,-0.26236827228235604,0.24818705952837242
5,4,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch4,-0.0269110422556976,-0.4610585045380914,0.5959073485304309,0.2652180047603786
5,5,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch5,0.4135876995590271,-0.2709823596065745,-0.3210650625701807,0.28765345859160024
5,6,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch6,0.3663406057848854,-0.2983872740325053,-0.21340521134264245,0.24866794386440225
5,7,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch7,0.023033682467884044,-0.4038934514099483,0.5510147581317257,0.2809124025785112
5,8,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch8,0.20144937781927655,-0.379633158879962,0.23113101279057424,0.36688392984432794
5,9,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch9,0.30964446508994625,-0.21590392051311025,-0.003461373040295512,-0.05857813705390047
5,10,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 5 Ch10,0.09303259829552957,-0.12523598034540595,0.0571315403489651,0.00048209279838824434
6,1,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch1,-0.12540552154651785,0.11094333165351347,-0.02125663951530595,0.034224923687773134
6,2,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch2,-0.22388484285654228,0.08253644390996016,-0.12637439585084587,-0.03328417153597894
6,3,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch3,-0.3572910542488212,-0.09401868462720284,-0.16009168038913857,-0.039780824348466935
6,4,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch4,0.08871209760910202,0.022758192625047753,0.06711430650506837,-0.0394560981976451
6,5,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch5,-0.027028415956506683,-0.3958378281095002,0.5496192869722567,0.2401784294420291
6,6,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch6,0.18476035975818483,0.04205954957334029,0.024975670028994847,-0.07601398319248608
6,7,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch7,-0.044916659671383724,0.3835919759254409,0.02612351351366645,0.19282969001273292
6,8,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch8,-0.05652460938135777,0.30882077124851126,-0.044234255719877394,0.11312191696621808
6,9,The Lord of the Rings,The Return of the King,J. R. R. Tolkien,5 January 1956,J. R. R. Tolkien Book 6 Ch9,-0.029780506492662877,0.29603777378207397,0.08024869883696824,0.11395131799921895
