term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
enter,-0.003404921354564267,0.0041971213831649215,0.0018717368098623225,0.003561543750803667,-0.0010858633271283113,-0.0010376680970778575,-0.0014584274874652216,0.0009588725279518428,0.004838023898039735,-0.0006441659872302079,3319,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,enter,NN,NN,3319,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,enter,NN,NN,0,3319,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,enter,NN,NN,0
hewn,-0.002524278652524853,0.0032204904634072166,-0.0030243000436485463,0.0004154156521326927,0.00036425764963387083,0.0021790752582836435,-0.001639434133765628,-0.00023953570128440856,-0.0029977866069610666,-0.0015740440903894864,5080,29,6.112881738925145e-05,13.997787817740823,32.88482321849072,hewn,NN,NN,5080,29,6.112881738925145e-05,13.997787817740823,32.88482321849072,hewn,NN,NN,0,5080,29,6.112881738925145e-05,13.997787817740823,32.88482321849072,hewn,NN,NN,0
stern,-0.0003228030023573477,0.004759658106882583,-0.0021678255651959508,0.0010604450284924767,0.0020265634029005162,-0.0021180988242830113,0.00023095732620199332,-0.0013432145097655999,-0.0006531737333813051,0.0001705645872967304,10115,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,stern,NN,NN,10115,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,stern,NN,NN,0,10115,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,stern,NN,NN,0
bird,0.002141437352641981,0.002946658330770373,0.000565731179742987,0.003645592719544555,0.0025530448728606062,-0.00261889453765044,0.0011557394145640747,0.0023530103308598256,-0.0003694880845746014,-0.005023167332138114,909,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,bird,NN,NN,909,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,bird,NN,NN,0,909,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,bird,NN,NN,0
meaning,-0.0007074278171901025,-0.0028443435626218814,0.0014181751404853892,-0.0011300239096097276,-0.0016345117830341134,-0.002247240401201437,0.0031285652635812053,-0.0003893138759038566,0.0016420883234731217,-0.002619195058586119,6523,28,5.902092713444967e-05,14.04841389081079,32.88482321849072,mean,NN,NN,6523,28,5.902092713444967e-05,14.04841389081079,32.88482321849072,mean,NN,NN,0,6523,28,5.902092713444967e-05,14.04841389081079,32.88482321849072,mean,NN,NN,0
garden,0.003760226794489083,-0.0038239276646756626,0.006534250788573841,-0.005771560998524197,-0.004874064632235749,-0.005225625740682391,0.007753353613131297,0.0016389759242245118,0.005823834858522191,-0.0023395784861181927,4308,50,0.00010539451274,13.21191262309367,32.88482321849072,garden,NN,NN,4308,50,0.00010539451274,13.21191262309367,32.88482321849072,garden,NN,NN,0,4308,50,0.00010539451274,13.21191262309367,32.88482321849072,garden,NN,NN,0
gamgee,0.007606652335845074,-0.007073947149063229,-0.0007806762743261146,-0.0009362101055942805,-0.0020171700399911636,-0.0039164377093917424,0.0054918232075093975,-0.007274689235577649,-0.006200427330205204,-0.0019911502941122186,4290,45,9.485506146607982e-05,13.36391571653872,32.88482321849072,gamge,NN,NN,4290,45,9.485506146607982e-05,13.36391571653872,32.88482321849072,gamge,NN,NN,0,4290,45,9.485506146607982e-05,13.36391571653872,32.88482321849072,gamge,NN,NN,0
waste,0.00039149836171128825,-0.0034282998137043384,-0.00013749254865537373,0.0010507149639223249,-0.0022470520043244677,0.00029353904939634964,0.0005886970331535018,-0.0011109009886919009,0.0017444645935033852,-0.0019473208384962913,11882,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,wast,NN,NN,11882,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,wast,NN,NN,0,11882,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,wast,NN,NN,0
galadriel,-0.003186943502277501,-0.004391020417975876,0.005678896485000286,0.01758652628563818,-0.01048009349401194,-0.016074323284440976,0.010283734262611437,0.0033250202986148713,0.03432137477523578,-0.030926123085770998,4275,83,0.0001749548911485,12.48072938152147,32.88482321849072,galadriel,NN,NN,4275,83,0.0001749548911485,12.48072938152147,32.88482321849072,galadriel,NN,NN,0,4275,83,0.0001749548911485,12.48072938152147,32.88482321849072,galadriel,NN,NN,0
lore,-0.00144496041349758,0.003807827654721754,0.004118725787516585,-0.0010040487316276736,-0.003092152398983484,0.002698382982748838,0.00757047604847706,0.002403568070566156,0.0025795690698057787,0.0011198222301629817,6265,49,0.0001032866224852,13.241058968753189,32.88482321849072,lore,NN,NN,6265,49,0.0001032866224852,13.241058968753189,32.88482321849072,lore,NN,NN,0,6265,49,0.0001032866224852,13.241058968753189,32.88482321849072,lore,NN,NN,0
