book_id,chap_num,term_str,n,tfidf
1,1,clearer,1,0.0001489254450283529
1,1,cloak,2,0.0001259874893891627
1,1,cloaked,1,0.0002360499959814406
1,1,clock,1,0.000294330607789865
1,1,close,2,3.4439891772883436e-05
1,1,closely,1,0.00016262510864795387
1,1,closing,1,0.0002485568089817254
1,1,clothes,1,0.00021389273571079717
1,1,cloths,1,0.00039396197174323754
1,1,clouded,2,0.0007237756731093978
1,1,clouds,1,7.813802021964362e-05
1,1,clutching,1,0.00017776938417301614
1,1,cluttered,2,0.001186449399299965
1,1,cold,1,1.4630007804052125e-05
1,1,collapsed,1,0.0003618878365546989
1,1,collection,1,0.00049359333569661
1,1,colour,1,0.0002245448433043522
1,1,coloured,1,0.00039396197174323754
1,1,combined,1,0.0005932246996499825
1,1,come,22,0.0
1,1,comers,1,0.00049359333569661
1,1,comes,6,0.00015169269238564292
1,1,comfortable,1,0.00021389273571079717
1,1,comfortably,1,0.00049359333569661
1,1,coming,6,2.827879731694141e-05
1,1,comment,1,0.00049359333569661
1,1,commodity,1,0.0005932246996499825
1,1,common,1,0.0001859852016674839
1,1,commonly,1,0.0005932246996499825
1,1,commotion,1,0.00049359333569661
1,1,companions,1,6.299374469458135e-05
1,1,company,1,5.259854096690018e-05
1,1,compliment,2,0.00098718667139322
1,1,confounded,1,0.00049359333569661
1,1,conjuror,1,0.0005932246996499825
1,1,connected,1,0.00049359333569661
1,1,connexions,1,0.0005932246996499825
1,1,considered,2,0.0006270481993283394
1,1,constant,1,0.0004353127238881856
1,1,constantly,1,0.000294330607789865
1,1,consulting,1,0.00049359333569661
1,1,contained,1,0.0005932246996499825
1,1,continuously,1,0.0005932246996499825
1,1,contributor,1,0.0005932246996499825
1,1,conversation,1,0.00039396197174323754
1,1,convex,1,0.0005932246996499825
1,1,convey,1,0.0005932246996499825
1,1,convince,1,0.0005932246996499825
1,1,cooks,1,0.0005932246996499825
1,1,corner,2,0.00021843485409172125
1,1,corners,2,0.0007237756731093978
1,1,correct,1,0.00039396197174323754
1,1,correctly,1,0.00049359333569661
1,1,correspondence,1,0.0005932246996499825
1,1,could,11,0.0
1,1,couldn,4,0.0007110775366920646
1,1,country,2,0.0001259874893891627
1,1,couple,2,0.00042778547142159433
1,1,course,14,0.0005573881061999928
1,1,cousin,5,0.0014716530389493252
1,1,cousins,1,0.00049359333569661
1,1,covered,1,8.635383771411137e-05
1,1,cracker,2,0.00098718667139322
1,1,crackers,3,0.0017796740989499476
1,1,crazy,1,0.0005932246996499825
