term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,term_str,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
desperate,0.0018536658287666347,-0.0011033272218795573,0.00019550626950491046,-0.0005857158792638195,0.001139085580339171,-0.0035217493688107677,0.0069888088789040025,-0.006192374243819,0.002705465280466357,0.004418266167808648,,,,,,,,,,2621,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,desper,NN,NN,0,2621,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,desper,NN,NN,0
dwell,-0.003150811405986977,-0.001324730052186864,0.005011567823074078,0.003069114089834776,-0.002288266996342179,-0.003077538448068687,-0.0039829262626072965,0.0009143740346015743,0.004725123487933556,-0.0026180964212637204,,,,,,,,,,3056,45,9.485506146607982e-05,13.36391571653872,32.90459014958683,dwell,NN,NN,0,3056,45,9.485506146607982e-05,13.36391571653872,32.90459014958683,dwell,NN,NN,0
hole,0.008089216391386513,-0.006848780009787779,-0.004253216816576616,-0.00022447296585503771,-0.0021430804600364897,-0.0017528627077652383,-0.003344775147483657,-0.0024586870340942597,0.003258648762834795,-0.005762201420330601,,,,,,,,,,5183,59,0.0001243655250333,12.973125763506554,32.90459014958683,hole,NN,NN,0,5183,59,0.0001243655250333,12.973125763506554,32.90459014958683,hole,NN,NN,0
slain,-0.008209924399406548,0.007903499758803924,0.0012131365984109177,-0.0016836432316973153,0.0030992851386137045,0.0014967672816423405,-0.00027320775706903244,-0.0019123178904866995,-0.004644387456541323,2.4393623185320407e-05,,,,,,,,,,9539,53,0.0001117181835044,13.127848358305195,32.88482321849072,slain,NN,NN,0,9539,53,0.0001117181835044,13.127848358305195,32.88482321849072,slain,NN,NN,0
endless,-0.0009050513024897377,0.00020778237955326043,-0.0036909935995594473,0.0033386559242257825,0.0018757436669983132,0.0004047892283941721,0.0008674022219511886,0.00024886211024424063,0.002776992312234799,-0.0021113129780579794,,,,,,,,,,3276,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,endless,NN,NN,0,3276,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,endless,NN,NN,0
skill,-0.004509690162205025,0.001246570449124844,0.0008969246158080887,0.0021128017780789117,0.004568816426300301,0.00038121945568410603,-0.001245268848969694,0.0011143799714731812,0.0033698931342680183,-0.0012350816386797838,,,,,,,,,,9511,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,skill,NN,NN,0,9511,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,skill,NN,NN,0
sense,0.008142376712549384,-0.0033448353045151848,-0.003481941790117559,-9.090605852135515e-05,0.0008772016628445709,-0.0002313407611346832,0.00506910946050659,-0.0002898917043412766,-0.0021417966894776747,0.002746731179910014,,,,,,,,,,9150,42,8.853139070167451e-05,13.463451390089634,32.88482321849072,sens,NN,NN,0,9150,42,8.853139070167451e-05,13.463451390089634,32.88482321849072,sens,NN,NN,0
knife,2.339738081038062e-06,-0.0037289300626311113,-0.0014685727379831336,0.0004050856358557268,0.0029387609451537048,0.0030101127802009296,0.007823671905127783,-0.00798600062437673,0.0015621123784739807,-0.0018519097101696953,,,,,,,,,,5820,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,knife,NN,NN,0,5820,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,knife,NN,NN,0
clearer,0.0016164606222146322,-0.002466597701674822,-0.0005320100452003516,0.0006963525697167388,-0.0004027869670215749,-3.1494774235970224e-05,0.001986642871374355,0.0032696626108720986,0.0015195527542475067,0.002103206900589391,,,,,,,,,,1784,24,5.0589366115242574e-05,14.27080631214724,32.88482321849072,clearer,NN,NN,0,1784,24,5.0589366115242574e-05,14.27080631214724,32.88482321849072,clearer,NN,NN,0
service,-0.003183741158778318,0.00706720173631483,0.005236389010681045,-0.004193795806578495,-0.0007994439187278475,0.0026325515411395224,-0.0026189135375973404,-0.0013193001665630364,-0.0012333445901593079,0.004986038105060764,,,,,,,,,,9175,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,servic,NN,NN,0,9175,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,servic,NN,NN,0
